CustomerID,Monetary,NTransactions,TotItems,cat_0,cat_1,cat_2,UniqueItems,E-Sale
12474,7375.79,422,4847,4083,698,66,253,6.15
12475,723.38,36,535,466,60,9,36,4.55
12476,6816.42,233,2408,1648,515,245,177,6.29
12477,13219.74,300,3653,1294,1824,535,191,7.0
12478,680.99,36,236,148,77,11,36,4.33
12479,527.2,31,385,344,33,8,31,4.08
12480,3281.63,154,1707,1342,326,39,129,6.0
12481,5596.32,216,3304,2837,362,105,150,5.59
12483,2484.98,75,1110,878,216,16,46,2.88
12484,4541.72,333,2191,1666,454,71,256,7.13
12488,1298.66,55,529,388,120,21,46,4.91
12489,334.93,15,105,60,33,12,15,3.4
12490,5417.93,245,3064,2626,391,47,131,5.55
12491,460.4,25,260,208,47,5,25,4.09
12492,263.21,20,192,159,31,2,19,2.74
12493,433.74,22,207,190,13,4,20,3.6
12494,1246.1,77,707,585,100,22,63,4.14
12497,1043.1,14,1236,1231,0,5,14,2.26
12498,403.7,23,159,92,64,3,21,3.5
12500,4254.82,60,2677,2432,165,80,33,3.32
12501,2169.39,149,1783,1566,196,21,149,6.54
12502,3723.87,147,820,376,272,172,102,5.77
12504,482.05,9,90,48,0,42,6,2.16
12506,73.5,23,23,9,12,2,23,4.25
12507,1304.81,21,894,824,59,11,19,2.56
12508,398.27,64,272,222,50,0,57,5.4
12509,176.5,7,55,30,20,5,7,2.11
12510,982.57,33,353,220,123,10,29,3.53
12512,138.03,31,99,80,18,1,31,4.64
12513,612.29,35,462,432,24,6,35,4.22
12514,1017.68,51,440,366,50,24,51,5.14
12515,383.7,16,131,96,24,11,16,3.21
12516,1312.06,26,875,868,0,7,20,2.96
12517,2502.84,271,1371,1151,195,25,232,7.25
12518,2056.89,124,1318,1099,197,22,84,5.09
12519,340.84,17,183,140,36,7,17,3.32
12520,2634.26,152,1439,1173,224,42,121,5.6
12521,599.68,38,309,280,21,8,38,4.59
12522,192.72,12,194,170,22,2,11,2.14
12523,1789.77,106,865,626,195,44,84,5.59
12524,4485.72,144,3699,3415,227,57,113,4.95
12526,1316.66,71,632,504,110,18,64,5.06
12527,348.71,18,234,208,21,5,18,3.26
12528,1933.48,92,756,560,129,67,50,4.51
12530,1662.28,66,913,798,94,21,51,4.38
12531,125.22,17,45,31,13,1,17,3.06
12532,349.83,16,153,102,47,4,16,3.4
12534,1089.18,63,651,591,39,21,63,5.21
12535,716.35,34,219,92,111,16,28,4.6
12536,4279.71,259,2801,2364,391,46,259,7.4
12538,363.95,21,191,152,27,12,21,3.9
12539,5568.35,273,2067,1348,596,123,157,6.72
12540,13400.24,478,6685,5502,884,299,277,6.01
12541,981.18,52,680,623,42,15,46,3.69
12544,372.7,19,136,92,38,6,19,3.49
12545,1000.39,50,523,469,35,19,42,4.27
12546,1161.5,69,633,504,120,9,59,4.87
12547,207.8,8,134,120,12,2,7,0.82
12548,95.2,5,49,48,0,1,5,0.98
12550,964.83,57,569,483,72,14,57,5.05
12551,168.0,10,100,100,0,0,10,3.3
12552,437.82,20,88,41,29,18,20,3.87
12553,3692.28,191,1965,1673,256,36,95,5.26
12556,603.71,114,358,281,68,9,100,6.1
12557,11990.96,33,4384,1792,2592,0,15,3.49
12558,269.96,11,196,196,0,0,11,3.19
12559,561.71,21,283,186,91,6,21,3.64
12560,2134.01,105,1110,859,224,27,91,5.75
12561,238.85,16,177,142,31,4,16,3.47
12562,3781.74,168,1779,1505,218,56,99,5.48
12564,456.9,21,133,80,45,8,21,3.92
12565,145.92,9,80,60,20,0,9,2.93
12566,351.65,19,265,241,15,9,19,3.42
12567,9401.28,446,4305,3285,800,220,323,7.39
12569,4124.69,188,1801,1392,313,96,92,3.49
12571,519.61,34,523,498,25,0,31,4.66
12572,1020.42,60,452,302,125,25,53,4.95
12573,160.54,26,84,52,31,1,26,4.31
12574,218.45,11,61,12,45,4,11,3.04
12576,1315.83,88,967,886,77,4,72,5.41
12577,657.8,144,472,437,26,9,137,6.6
12578,2794.51,114,1196,853,316,27,111,6.05
12579,440.42,29,285,244,32,9,29,4.02
12580,415.7,24,238,212,24,2,24,3.92
12581,197.71,15,161,153,6,2,15,2.81
12582,511.36,22,300,260,36,4,21,2.12
12583,7281.38,247,5060,4142,861,57,115,4.84
12584,2338.15,96,416,36,260,120,44,4.9
12585,2040.1,87,1279,1131,99,49,77,5.29
12586,196.94,11,79,44,34,1,11,3.17
12587,144.0,4,51,50,0,1,4,0.78
12588,214.9,10,53,36,7,10,10,2.61
12589,646.68,35,306,272,16,18,29,3.9
12590,9864.26,68,4283,2686,1560,37,68,2.41
12591,452.85,26,228,184,36,8,26,3.82
12592,437.6,18,290,288,0,2,11,2.24
12593,418.1,21,206,194,10,2,14,3.35
12594,3338.22,118,1777,1498,271,8,50,4.62
12596,618.27,27,474,415,47,12,25,3.07
12597,3811.22,206,2236,1888,279,69,184,6.42
12598,3023.08,132,1964,1752,163,49,84,5.28
12599,1032.58,62,956,918,30,8,32,2.39
12600,2599.04,64,774,430,328,16,32,2.77
12601,577.06,28,245,190,47,8,21,2.63
12602,153.12,12,162,154,6,2,12,2.55
12603,739.2,2,63,0,0,63,2,0.96
12604,254.18,16,201,194,6,1,15,2.94
12607,1579.51,101,1228,1103,118,7,101,6.11
12609,1126.85,60,648,526,103,19,57,4.79
12610,2099.54,106,1049,886,130,33,85,4.91
12611,1193.32,65,846,750,82,14,65,5.53
12612,704.04,19,262,132,128,2,19,3.8
12613,3344.38,153,1644,1232,390,22,124,6.11
12614,315.6,20,76,12,53,11,20,4.16
12615,2291.19,105,1376,1218,119,39,82,5.13
12616,713.3,32,284,234,16,34,25,3.73
12617,355.53,39,213,190,21,2,39,4.82
12618,177.31,11,96,74,19,3,11,2.29
12619,3641.24,90,3378,3328,12,38,50,2.28
12620,1339.41,92,1181,1065,108,8,89,5.79
12621,13689.67,467,7440,6134,1080,226,261,6.29
12622,180.1,11,69,46,19,4,11,2.84
12623,305.1,18,191,167,22,2,18,3.34
12624,641.13,38,355,304,38,13,36,4.28
12625,2683.82,86,1612,1303,262,47,73,5.19
12626,6620.48,294,3453,2810,547,96,232,6.58
12627,4478.53,230,2752,2399,306,47,162,6.21
12628,786.46,41,448,379,64,5,34,3.85
12630,1270.88,64,548,390,140,18,60,4.68
12631,640.5,31,236,184,38,14,31,4.07
12633,2163.98,101,1162,889,250,23,73,5.19
12635,1689.18,101,1172,1024,125,23,96,5.72
12637,6021.9,377,3002,2289,632,81,205,7.05
12638,671.69,39,577,535,38,4,39,3.78
12639,486.1,22,201,174,20,7,22,3.35
12640,1174.58,53,311,128,135,48,47,4.86
12641,185.9,10,72,41,28,3,10,2.21
12642,1013.26,47,552,452,89,11,39,4.04
12643,3344.64,24,1808,1178,612,18,11,1.67
12644,477.91,31,325,280,40,5,31,4.37
12645,1775.18,73,1084,946,130,8,58,4.4
12646,1346.97,45,897,774,116,7,43,4.95
12647,3722.82,121,1431,1086,279,66,78,4.64
12648,318.05,21,160,134,20,6,21,3.68
12649,623.51,31,586,508,75,3,28,3.41
12650,314.44,20,254,214,36,4,20,2.92
12651,114.0,9,78,66,12,0,9,2.71
12652,919.98,48,505,402,90,13,48,4.97
12653,2209.85,43,919,640,195,84,37,4.44
12654,601.98,38,264,206,51,7,31,3.57
12656,4051.17,126,1723,1298,357,68,89,5.63
12657,1643.18,47,1044,843,148,53,35,4.15
12658,686.05,36,320,254,52,14,36,4.66
12659,91.68,5,105,96,8,1,5,1.4
12660,245.1,13,127,96,30,1,13,3.09
12662,3849.78,230,2058,1649,365,44,129,5.49
12664,4881.88,37,1203,48,1140,15,10,1.28
12665,63.0,3,37,36,0,1,3,0.66
12667,620.13,33,395,324,61,10,33,3.83
12668,3807.15,161,1634,1128,434,72,115,6.05
12669,2744.03,101,1115,961,132,22,98,1.72
12670,2996.05,92,1397,1030,323,44,58,4.67
12672,225.9,10,78,34,36,8,10,3.03
12673,610.52,42,351,310,31,10,42,4.79
12674,1970.6,83,1133,938,168,27,52,4.43
12676,1331.39,45,670,497,167,6,33,1.87
12678,17628.46,165,10923,9692,1199,32,105,2.98
12679,1113.02,48,554,456,80,18,43,4.13
12680,880.81,53,444,352,83,9,33,3.85
12681,13787.54,638,7536,6071,1228,237,267,6.39
12682,12288.22,524,5575,4488,906,181,209,5.75
12683,8476.57,344,4987,4418,397,172,177,5.93
12684,2283.63,105,1985,1874,97,14,61,4.09
12685,2863.08,157,1523,1203,291,29,117,5.58
12686,89.14,7,107,106,0,1,7,1.25
12688,4873.81,171,3028,2522,440,66,171,5.94
12689,1247.61,72,628,533,77,18,57,5.01
12690,389.01,16,106,62,31,13,16,3.58
12691,1035.8,32,394,236,148,10,21,2.68
12693,855.91,39,255,140,79,36,35,4.01
12694,869.67,37,509,454,24,31,32,3.66
12695,582.1,27,220,144,38,38,23,3.9
12697,957.59,41,508,410,93,5,37,2.98
12700,4939.99,268,2967,2531,374,62,193,6.67
12701,797.71,53,678,615,53,10,50,4.43
12702,219.0,12,53,12,40,1,12,3.32
12703,283.55,21,164,130,33,1,21,3.69
12704,2340.84,88,1006,873,96,37,64,3.67
12705,6868.29,334,3997,3243,626,128,228,6.77
12707,603.42,33,256,188,50,18,33,4.49
12708,2712.91,157,1307,1001,262,44,86,5.01
12709,9736.52,207,3936,2811,797,328,93,5.54
12710,1149.02,77,851,768,66,17,75,5.0
12712,4396.13,133,1062,384,504,174,58,4.58
12713,848.55,38,508,444,55,9,38,4.51
12714,4708.86,259,3069,2686,309,74,216,6.71
12715,353.86,20,197,195,0,2,20,2.73
12716,1053.49,69,708,578,121,9,60,5.01
12717,1030.98,55,506,444,55,7,49,3.83
12718,238.25,19,203,186,13,4,19,3.1
12719,644.95,39,374,295,68,11,34,4.17
12720,5781.73,354,4672,4222,365,85,211,6.03
12721,2656.13,161,1959,1815,109,35,133,5.63
12722,997.63,53,566,434,116,16,50,4.55
12723,725.07,69,434,325,100,9,53,4.91
12724,1031.41,53,445,344,95,6,47,4.33
12725,427.8,24,164,99,63,2,24,3.97
12726,2609.1,124,3143,3062,70,11,57,3.81
12727,3980.7,139,2098,1676,286,136,109,5.12
12728,836.33,46,419,330,71,18,38,3.91
12729,453.01,26,233,200,25,8,26,4.09
12731,18895.91,274,8437,6514,1587,336,109,5.87
12732,236.26,12,111,80,30,1,12,2.83
12733,383.95,22,137,75,56,6,22,4.12
12734,110.4,4,88,88,0,0,4,1.67
12735,779.57,43,368,304,27,37,38,4.26
12736,234.0,4,173,168,0,5,4,0.97
12738,155.35,11,148,144,0,4,11,2.36
12739,1013.04,38,486,393,62,31,38,4.04
12740,427.6,27,342,312,24,6,27,4.22
12743,546.43,129,319,252,55,12,114,6.29
12744,14947.05,220,5239,4174,911,154,178,1.27
12747,4196.01,103,1275,634,597,44,42,4.77
12748,33719.73,4287,25747,22569,2737,441,1768,9.36
12749,4090.88,199,1471,925,413,133,160,6.71
12750,275.88,15,137,95,32,10,15,3.46
12752,4366.78,53,2262,1632,568,62,53,5.2
12753,21429.39,197,11421,8368,2901,152,132,6.41
12754,3010.74,63,6481,6378,103,0,49,5.27
12755,3811.95,4,1491,1,1489,1,4,1.7
12756,112.08,4,144,144,0,0,4,1.95
12757,7857.1,352,2402,2184,200,18,237,1.92
12758,2791.59,97,2135,2038,89,8,84,6.0
12759,1531.44,95,902,769,117,16,81,5.32
12762,1898.52,69,1227,1096,122,9,62,4.74
12763,494.08,18,316,264,52,0,16,3.6
12764,1693.88,45,386,136,186,64,45,5.11
12766,6989.63,310,3646,2795,777,74,205,6.67
12769,1143.6,32,356,152,176,28,32,4.72
12770,1351.45,12,743,584,100,59,12,3.0
12772,892.47,55,556,488,50,18,55,4.85
12775,1386.04,66,877,748,102,27,47,4.22
12778,822.23,50,825,796,15,14,40,3.03
12779,3981.36,149,2024,1576,347,101,88,5.65
12781,826.74,25,671,572,98,1,25,3.06
12782,2330.92,103,1086,804,261,21,81,4.74
12783,2225.91,84,624,430,150,44,76,2.93
12784,574.42,54,300,277,19,4,54,5.02
12785,311.95,14,131,122,6,3,14,2.75
12787,463.66,20,261,234,24,3,17,2.63
12789,91.85,4,4,0,0,4,4,1.88
12790,324.92,21,166,120,34,12,21,3.73
12791,192.6,2,97,96,0,1,2,0.5
12792,400.54,25,217,180,34,3,25,3.66
12793,545.48,24,295,260,32,3,21,2.66
12794,860.41,45,592,518,72,2,43,5.01
12795,430.48,14,68,18,29,21,14,3.38
12797,254.03,13,118,96,19,3,13,2.78
12798,6977.04,8,5256,5256,0,0,6,1.74
12802,427.58,25,314,266,46,2,25,3.93
12808,483.65,28,188,134,52,2,27,4.14
12809,489.31,25,220,162,49,9,25,3.85
12811,514.85,31,230,171,55,4,27,3.48
12812,229.64,15,164,124,40,0,15,3.57
12814,125.92,2,49,48,0,1,2,0.26
12815,1063.46,47,379,272,88,19,38,4.07
12816,572.2,29,128,55,52,21,27,3.7
12817,166.04,4,53,40,12,1,4,0.9
12818,1542.08,14,929,852,60,17,14,2.7
12820,942.34,59,722,628,94,0,55,5.32
12821,92.72,6,70,60,8,2,6,1.91
12822,948.88,46,550,440,104,6,41,4.76
12823,1759.5,5,230,0,0,230,1,-0.0
12824,397.12,25,232,172,50,10,25,4.12
12826,1474.72,91,1058,965,90,3,58,5.13
12827,430.15,25,197,140,57,0,19,3.64
12828,1018.71,56,494,372,117,5,46,5.09
12829,293.0,11,376,360,6,10,9,2.44
12830,6814.64,38,9848,9128,720,0,13,3.2
12831,215.05,9,135,114,19,2,9,2.54
12832,383.03,27,195,146,47,2,27,4.42
12833,417.38,24,156,100,43,13,24,4.2
12834,312.38,18,110,76,20,14,18,3.91
12836,2612.86,172,1064,668,313,83,148,6.46
12837,134.1,12,24,5,12,7,12,3.3
12838,683.13,117,359,264,85,10,115,6.3
12839,5591.42,313,3807,3467,321,19,95,6.12
12840,2726.77,113,1511,1258,253,0,67,5.74
12841,4022.35,412,2757,2271,460,26,229,6.83
12842,1118.99,34,547,317,221,9,34,3.48
12843,1702.26,100,781,582,178,21,69,5.45
12844,325.96,50,125,67,58,0,47,5.15
12845,354.09,27,204,193,9,2,26,4.3
12847,871.54,72,909,903,2,4,72,5.52
12849,1050.89,48,623,514,98,11,47,5.09
12851,135.18,43,109,96,11,2,43,4.66
12852,311.55,17,149,112,33,4,17,3.63
12853,1957.1,78,800,582,162,56,66,5.37
12854,1324.5,107,627,455,158,14,95,6.04
12855,38.1,3,30,24,6,0,3,1.31
12856,2179.93,306,1079,781,282,16,155,6.74
12857,1106.4,46,343,175,139,29,37,4.71
12863,521.2,5,188,136,12,40,5,1.79
12864,147.12,3,216,216,0,0,3,1.46
12865,1568.23,95,925,762,148,15,86,5.54
12866,559.12,26,171,85,66,20,26,4.27
12867,4036.82,524,4298,4041,250,7,240,7.34
12868,1607.06,107,928,654,267,7,72,5.57
12871,380.64,11,200,96,102,2,8,2.6
12872,599.97,66,319,253,61,5,58,5.41
12873,374.0,4,128,0,120,8,4,1.75
12875,343.23,2,2019,2019,0,0,1,-0.0
12876,2218.02,85,1941,1766,148,27,67,5.02
12877,1535.77,154,1178,989,178,11,100,5.75
12878,854.99,47,547,490,55,2,38,5.03
12879,573.22,10,370,178,192,0,7,2.14
12881,298.0,7,21,0,16,5,7,1.01
12882,1463.04,13,246,30,36,180,12,3.47
12883,703.47,42,196,72,105,19,39,5.0
12884,309.05,7,43,30,7,6,7,1.36
12885,1175.22,71,655,515,122,18,66,5.26
12886,1378.4,82,770,570,172,28,75,5.64
12888,354.12,5,76,12,48,16,4,1.82
12890,380.47,78,259,216,42,1,78,6.01
12891,331.0,3,950,950,0,0,2,0.89
12893,188.14,27,96,82,14,0,27,4.57
12895,372.8,22,210,176,31,3,22,3.91
12897,216.5,4,110,80,30,0,3,1.54
12901,16646.54,115,18275,18027,236,12,30,4.29
12902,138.68,10,66,48,14,4,10,2.55
12904,509.58,67,302,259,32,11,59,5.14
12906,2919.81,63,1749,1442,298,9,55,5.22
12908,750.0,2,1200,1200,0,0,1,-0.0
12909,2178.67,90,1280,1150,99,31,78,3.6
12910,3075.04,75,1692,1228,464,0,48,4.85
12912,1662.3,24,670,346,312,12,17,3.86
12913,2453.63,48,1417,904,513,0,36,4.77
12915,363.65,22,93,46,31,16,19,3.85
12916,3006.15,97,1119,596,458,65,53,4.9
12917,594.0,2,120,0,120,0,2,1.0
12919,1335.19,50,673,528,137,8,34,4.68
12920,164.23,27,129,109,17,3,27,4.13
12921,16587.09,720,9526,8255,1183,88,233,7.26
12922,405.38,28,370,348,22,0,28,4.39
12923,176.97,28,69,28,39,2,28,4.49
12924,933.7,29,481,332,147,2,22,3.93
12925,679.05,44,540,502,35,3,41,4.79
12928,2062.7,84,1472,1382,90,0,59,5.59
12929,117.85,8,37,24,9,4,8,2.59
12930,415.8,25,252,188,63,1,20,3.93
12931,42055.96,79,28004,26118,1448,438,28,4.55
12933,607.53,105,499,423,71,5,102,6.36
12935,2160.7,129,1853,1737,99,17,80,5.75
12936,1063.9,62,559,368,191,0,56,5.49
12937,1504.27,120,1007,818,182,7,81,5.89
12938,114.14,9,140,134,6,0,9,2.85
12939,11581.8,47,4876,2692,2184,0,21,3.96
12940,913.54,92,411,292,82,37,87,5.85
12942,683.9,70,203,107,80,16,68,5.55
12944,604.51,30,289,208,73,8,29,4.4
12945,462.95,23,165,112,39,14,23,4.16
12947,1603.99,97,1165,1030,121,14,83,5.2
12948,2064.95,116,1080,803,262,15,82,5.83
12949,4167.22,215,2381,1977,350,54,166,6.74
12950,1843.0,23,1380,1380,0,0,13,3.47
12951,1064.07,63,503,356,138,9,53,5.2
12952,1387.79,79,653,534,92,27,64,5.39
12953,329.85,17,84,24,47,13,17,3.66
12955,4757.16,180,3664,3222,430,12,81,5.72
12956,108.07,19,34,19,12,3,19,3.88
12957,4017.54,238,2549,2108,400,41,208,7.17
12962,266.39,16,129,98,29,2,15,3.47
12963,1856.63,95,881,625,230,26,75,5.75
12965,771.91,108,283,179,83,21,108,6.36
12966,160.18,10,75,60,14,1,10,2.85
12967,1660.9,19,438,172,236,30,19,3.44
12968,135.95,5,73,48,24,1,5,1.73
12970,452.24,117,310,274,28,8,116,6.32
12971,11189.91,305,9289,7644,1582,63,94,5.44
12974,144.8,8,24,0,17,7,8,2.74
12976,738.6,22,561,547,14,0,22,4.08
12977,39.24,9,12,9,1,2,9,1.91
12980,7374.9,20,886,144,600,142,6,0.8
12981,372.22,20,242,200,42,0,12,3.35
12982,390.54,28,288,267,21,0,28,4.46
12984,97.5,4,26,0,26,0,4,1.98
12985,1239.38,76,1533,1423,106,4,73,5.59
12987,558.7,28,219,166,41,12,27,3.75
12988,535.32,75,136,53,60,23,75,5.86
12989,6924.11,64,2943,2308,407,228,41,4.3
12990,409.5,13,200,200,0,0,8,2.82
12991,503.76,31,405,329,76,0,31,4.45
12993,414.76,27,240,206,34,0,26,4.54
12994,974.42,61,459,335,104,20,52,5.07
12995,211.32,3,108,72,36,0,3,1.3
12997,1226.89,59,664,516,133,15,45,5.05
12999,455.88,28,342,332,0,10,25,3.01
13000,534.85,31,379,316,56,7,30,4.39
13001,9818.82,329,5505,4370,1125,10,166,6.68
13002,120.95,7,73,66,6,1,7,2.26
13003,149.05,6,103,94,9,0,4,1.76
13004,5655.91,404,4822,4411,372,39,277,7.3
13005,513.7,26,172,116,38,18,21,3.86
13006,81.57,4,55,48,0,7,4,1.12
13008,229.47,14,175,161,14,0,14,3.56
13011,50.55,3,13,0,13,0,3,1.52
13012,1661.84,88,824,686,115,23,67,5.48
13013,4810.94,219,2224,1429,744,51,155,6.76
13014,3466.28,109,905,503,225,177,67,5.02
13015,3346.28,175,1617,1204,373,40,156,5.42
13016,789.89,47,527,456,66,5,39,4.31
13017,204.0,1,48,0,48,0,1,-0.0
13018,7277.7,458,5435,4815,574,46,313,7.69
13021,2616.38,131,1352,1093,208,51,101,6.0
13023,689.9,40,286,214,48,24,36,4.57
13026,975.36,40,1620,1620,0,0,32,4.52
13027,6912.0,26,17280,17280,0,0,6,2.55
13028,661.32,45,798,798,0,0,40,5.03
13029,1247.5,10,134,74,0,60,8,1.03
13030,799.48,78,394,310,63,21,76,5.62
13032,1010.18,71,375,249,97,29,55,5.35
13033,190.55,11,83,70,13,0,11,3.33
13034,642.77,37,369,310,58,1,37,4.8
13035,921.88,27,644,512,132,0,23,4.32
13037,881.07,48,431,332,77,22,44,4.82
13038,908.46,28,360,192,166,2,24,4.18
13040,676.99,43,355,268,87,0,38,5.0
13043,516.42,13,254,192,46,16,13,3.21
13044,560.47,33,429,390,24,15,33,4.22
13045,305.28,18,221,209,12,0,18,4.0
13046,629.31,35,264,210,39,15,33,3.69
13047,3237.54,172,1391,897,430,64,106,6.04
13048,1835.91,134,1238,1121,114,3,77,5.65
13049,656.68,14,268,148,116,4,14,3.36
13050,5836.86,401,3748,3155,512,81,246,6.96
13052,348.15,18,222,179,31,12,18,3.54
13055,1214.41,76,894,795,92,7,74,5.62
13058,271.4,8,52,0,51,1,5,2.27
13059,183.4,8,35,0,27,8,8,2.75
13060,307.53,15,123,68,47,8,15,3.58
13061,248.61,10,107,80,21,6,10,2.86
13062,331.98,10,342,318,2,22,10,2.93
13064,1119.49,67,516,323,174,19,51,4.97
13065,205.86,14,74,44,23,7,14,3.43
13066,470.8,48,322,267,45,10,48,4.8
13067,115.46,14,32,9,20,3,14,3.69
13068,344.0,2,200,200,0,0,1,-0.0
13069,4436.12,419,5885,5620,249,16,281,7.37
13070,228.8,9,110,110,0,0,9,3.17
13072,177.15,7,69,36,33,0,7,2.65
13075,919.61,22,485,390,95,0,22,4.34
13077,729.27,111,863,765,96,2,99,6.11
13078,12627.94,358,5630,3774,1673,183,95,5.94
13079,220.1,6,62,24,38,0,2,0.79
13080,58.08,6,120,120,0,0,6,2.24
13081,28337.38,1024,19068,15876,2935,257,503,8.2
13082,3613.63,73,4324,4013,294,17,63,5.43
13083,303.75,18,187,156,24,7,15,2.79
13085,416.08,22,216,180,24,12,17,3.48
13089,58825.83,1812,31070,24235,5926,909,636,8.28
13090,8910.82,155,2263,1030,839,394,98,5.4
13091,345.82,21,466,460,6,0,21,4.04
13092,477.83,25,279,204,53,22,19,3.46
13093,7832.47,159,3961,3098,767,96,97,5.4
13094,1927.32,24,1716,1680,36,0,4,1.85
13095,74.4,6,144,144,0,0,6,2.28
13097,6010.42,416,2363,1524,671,168,214,6.9
13098,28882.44,572,15968,13206,2350,412,156,6.2
13099,207.36,1,288,288,0,0,1,-0.0
13101,101.19,8,113,108,4,1,8,2.46
13102,6424.09,304,4204,3716,407,81,140,6.25
13103,243.94,8,82,64,6,12,8,2.55
13104,1098.48,20,504,336,168,0,14,3.27
13106,76.5,1,18,0,18,0,1,-0.0
