CustomerID,Recency,Frequency,Monetary,TotItems,MaxItems,MeanItems,UniqueItems,PrefItem,MaxSale,MeanSale,MeanItemSale,E-Qta,E-Sale,WeekDayPref,WeekMonthPref,MainCountry,PReturn
12373,342,1,364.6,197,197,197,14,20724,364.6,364.6,9.48,3.58,2.31,6,1,Austria,0.0
12374,26,1,742.93,342,342,342,33,21788,742.93,742.93,6.03,4.77,3.99,0,2,Austria,0.0
12375,11,2,457.5,178,91,89,14,23200,230.3,228.75,11.01,3.47,1.99,1,3,Finland,0.0
12377,316,2,1628.12,944,604,472,72,22539,1001.52,814.06,5.26,5.83,5.4,2,3,Switzerland,0.0
12378,305,1,4008.62,2529,2529,2529,219,84568,4008.62,4008.62,4.38,7.09,7.24,1,2,Switzerland,0.0
12379,82,2,852.24,407,211,203,39,22740,459.84,426.12,3.53,5.07,4.57,1,3,Belgium,0.25
12380,22,4,2724.81,1127,315,281,77,22326,1040.39,681.2,5.25,5.9,5.28,3,2,Belgium,0.09
12381,0,5,1845.31,808,568,161,70,22492,1268.74,369.06,5.05,5.8,4.56,3,2,Norway,0.0
12383,9,5,1850.56,1532,754,306,84,22489,651.16,370.11,4.92,5.72,4.81,2,2,Belgium,0.0
12384,29,2,585.27,126,64,63,26,21892,292.69,292.64,8.09,4.41,3.67,4,2,Switzerland,0.0
12386,192,2,401.9,354,214,177,10,22915,258.9,200.95,2.82,2.64,2.85,2,1,Australia,0.0
12388,16,6,2780.66,1462,478,243,57,22338,902.09,463.44,3.03,5.43,5.23,3,2,Australia,0.0
12390,80,1,549.84,353,353,353,32,22492,549.84,549.84,4.47,4.52,4.23,2,3,Belgium,0.0
12391,22,1,460.89,300,300,300,92,16238,460.89,460.89,3.34,5.48,6.11,4,3,Cyprus,0.0
12393,39,4,1582.6,816,294,204,47,20726,521.5,395.65,2.4,5.22,5.32,2,2,Australia,0.0
12394,153,2,1272.48,819,637,409,26,23295,891.4,636.24,4.62,3.16,3.68,6,1,Belgium,0.0
12395,5,12,3018.63,2118,528,176,91,22740,346.68,251.55,5.93,5.65,4.84,3,2,Belgium,0.09
12397,136,2,2409.9,1263,704,631,110,22099,1214.81,1204.95,4.91,6.46,5.97,1,3,Belgium,0.0
12398,46,1,1635.66,1394,1394,1394,85,22492,1635.66,1635.66,4.31,6.21,5.28,1,4,Switzerland,0.0
12399,2,4,1108.65,1178,494,294,47,22492,480.9,277.16,2.66,5.13,3.67,2,2,Belgium,0.0
12401,99,1,84.3,11,11,11,5,84279B,84.3,84.3,9.68,2.12,2.17,4,1,Belgium,0.0
12402,324,1,225.6,94,94,94,11,22326,225.6,225.6,5.39,3.36,2.91,3,3,Belgium,0.0
12403,50,1,427.7,96,96,96,5,84997D,427.7,427.7,9.03,1.76,1.98,4,3,Denmark,1.04
12405,149,1,1710.39,857,857,857,54,21394,1710.39,1710.39,4.8,5.33,4.92,3,2,Finland,0.0
12406,22,2,3415.3,1818,1025,909,92,22383,1794.05,1707.65,2.9,6.23,5.98,2,2,Denmark,0.5
12407,50,5,1708.12,1416,522,283,57,84536B,719.06,341.62,3.89,4.82,4.48,2,2,Belgium,0.0
12408,152,5,2888.55,1409,378,281,81,22630,762.89,577.71,3.99,5.85,5.4,2,3,Belgium,0.71
12409,65,3,11072.67,5551,3142,1850,91,21212,6207.08,3690.89,4.21,6.12,5.74,2,2,Switzerland,0.02
12410,252,2,693.33,211,203,105,26,21916,625.33,346.66,7.78,4.23,4.02,5,1,Switzerland,0.95
12412,75,3,1226.88,829,358,276,43,84077,514.5,408.96,3.64,5.11,4.25,1,4,Denmark,0.0
12413,192,3,758.1,286,180,95,29,85099B,479.25,252.7,6.62,4.51,4.08,4,2,France,1.4
12414,188,3,562.41,300,145,100,16,20975,242.8,187.47,5.83,3.63,1.53,3,2,Austria,0.0
12417,40,9,3649.1,1552,344,172,158,16161P,562.69,405.46,6.9,6.67,6.15,3,2,Belgium,0.77
12418,113,1,668.58,407,407,407,34,84077,668.58,668.58,3.87,4.62,4.48,4,3,Switzerland,0.0
12420,153,1,600.39,345,345,345,29,85204,600.39,600.39,4.41,3.87,4.36,6,2,Cyprus,0.0
12421,16,4,807.04,484,158,121,32,22066,239.35,201.76,4.12,4.55,2.91,2,3,Spain,0.0
12422,169,3,803.56,370,175,123,39,21391,417.36,267.85,5.47,5.16,4.28,2,3,Australia,0.0
12423,89,8,1859.31,1339,248,167,97,23084,347.35,232.41,4.2,6.32,4.83,0,2,Belgium,0.0
12424,163,2,1760.96,740,532,370,30,84380,1466.32,880.48,2.78,4.28,4.68,3,5,Australia,0.0
12425,78,1,777.2,496,496,496,36,23076,777.2,777.2,2.91,4.73,4.69,3,4,Portugal,0.0
12426,195,1,582.73,258,258,258,30,16161G,582.73,582.73,4.9,4.64,4.31,6,5,Germany,0.0
12427,22,3,825.8,533,340,177,26,84598,303.5,275.27,4.44,3.03,3.55,2,2,Germany,55.72
12428,26,9,7956.46,3536,1273,392,258,22984,2474.62,884.05,11.38,7.61,5.92,2,1,Finland,0.93
12429,9,4,3750.4,1557,512,389,82,22951,1281.5,937.6,5.06,5.88,5.39,2,3,Denmark,0.0
12430,44,1,256.4,117,117,117,11,22544,256.4,256.4,6.76,3.25,2.06,3,4,Norway,0.0
12431,2,15,6487.45,2906,374,193,163,21731,640.1,432.5,4.77,5.86,6.66,2,2,Australia,1.24
12432,43,5,5059.32,1801,1090,360,107,21787,2862.06,1011.86,27.85,6.23,3.2,2,3,Norway,0.0
12433,10,7,13375.87,11071,2299,1581,219,16008,2843.29,1910.84,3.39,6.9,7.18,1,2,Norway,0.0
12434,85,2,806.14,394,317,197,46,22128,519.89,403.07,3.77,5.26,4.83,3,3,Australia,2.03
12435,80,2,7829.89,2055,1176,1027,31,21915,3978.99,3914.95,4.8,4.52,4.55,2,3,Denmark,0.0
12436,335,1,509.01,211,211,211,16,21975,509.01,509.01,8.41,3.76,2.85,6,2,Norway,0.0
12437,9,18,4951.41,2922,567,162,118,21086,736.55,275.08,3.96,6.1,4.63,2,2,France,0.0
12438,15,2,2906.85,1180,594,590,84,16219,2016.78,1453.42,5.24,6.09,5.24,4,4,Norway,0.0
12441,485,1,173.55,121,121,121,11,22051,173.55,173.55,5.17,3.01,2.65,3,2,France,0.0
12442,181,1,172.06,182,182,182,12,23546,172.06,172.06,4.5,3.34,1.79,6,2,Spain,0.0
12444,0,5,5005.46,1153,582,230,138,21669,1870.2,1001.09,6.37,6.78,5.95,3,2,Norway,0.0
12445,22,1,133.4,62,62,62,4,85034B,133.4,133.4,10.23,1.68,0.74,3,3,Spain,0.0
12446,58,1,1002.31,351,351,351,57,21889,1002.31,1002.31,4.46,5.62,5.4,3,2,RSA,0.0
12447,67,1,476.49,190,190,190,26,22551,476.49,476.49,4.61,4.53,4.26,1,1,Belgium,0.0
12448,45,1,449.45,243,243,243,22,21084,449.45,449.45,8.02,4.15,2.61,2,4,Spain,0.0
12449,23,4,4067.29,1553,524,388,118,22326,1342.71,1016.82,4.28,6.58,6.0,3,2,Belgium,0.0
12450,174,2,197.88,128,64,64,7,23209,101.88,98.94,1.54,2.47,2.65,3,2,Spain,0.0
12451,11,5,9035.52,6575,2334,1315,265,22554,2919.51,1807.1,4.84,7.48,7.19,2,2,Switzerland,1.83
12452,17,2,430.57,185,183,92,21,23076,350.57,215.28,5.41,4.12,3.28,2,4,Switzerland,1.08
12453,135,1,707.09,473,473,473,43,21498,707.09,707.09,2.86,5.14,5.06,3,4,Austria,0.0
12454,57,1,3528.34,1006,1006,1006,15,72802C,3528.34,3528.34,8.94,3.28,3.18,4,2,Spain,100.0
12455,74,6,2466.86,2089,1522,348,85,22335,1683.9,411.14,4.39,5.6,4.32,2,2,Spain,0.0
12456,45,3,3181.04,1633,628,544,105,22492,1325.23,1060.35,5.31,6.23,5.28,3,4,Switzerland,1.04
12457,82,7,2363.23,843,376,120,53,23199,743.28,337.6,5.98,4.83,4.16,2,2,Switzerland,17.08
12458,72,2,947.4,506,270,253,35,21829,505.48,473.7,5.44,4.63,3.41,1,4,Switzerland,0.0
12461,125,2,826.88,287,282,143,35,21650,626.88,413.44,5.66,4.93,4.24,4,1,Switzerland,0.0
12462,19,2,1189.59,536,287,268,51,22065,762.11,594.79,4.92,5.19,4.65,2,2,Spain,0.0
12463,6,4,1344.78,776,220,194,65,22629,358.99,336.2,3.83,5.75,4.66,2,2,Belgium,2.32
12464,11,8,1212.05,112,21,14,6,22467,281.9,151.51,11.59,2.41,2.27,1,3,Belgium,0.0
12465,18,2,742.19,479,294,239,46,22740,440.94,371.1,3.77,5.22,4.69,2,4,Belgium,0.0
12468,218,2,729.54,366,239,183,36,22492,508.95,364.77,4.36,4.87,4.25,3,2,Germany,0.55
12471,11,30,19824.05,8212,1075,273,150,22741,2238.51,660.8,11.61,6.34,4.68,2,2,Germany,2.83
12472,52,7,6572.11,4148,972,592,219,22467,1631.3,938.87,4.5,7.34,6.45,2,2,Germany,2.0
12473,54,5,3938.55,2439,1557,487,140,22339,1697.98,787.71,32.26,6.75,2.29,1,2,Germany,2.99
12474,3,18,7375.79,4847,554,269,253,20719,806.47,409.77,4.8,7.48,6.15,2,3,Germany,1.34
12475,54,1,723.38,535,535,535,36,16045,723.38,723.38,3.77,4.48,4.55,0,3,Germany,0.0
12476,16,11,6816.42,2408,628,218,177,84879,1750.46,619.67,5.35,6.89,6.29,1,3,Germany,1.54
12477,23,6,13219.74,3653,1151,608,191,22244,4257.06,2203.29,5.34,6.98,7.0,3,2,Germany,0.82
12478,181,1,680.99,236,236,236,36,20982,680.99,680.99,6.02,4.96,4.33,6,2,Greece,0.0
12479,12,1,527.2,385,385,385,31,20973,527.2,527.2,4.13,4.73,4.08,0,4,Germany,0.0
12480,29,4,3281.63,1707,611,426,129,22629,1136.68,820.41,4.0,6.38,6.0,3,2,Germany,0.0
12481,23,10,5596.32,3304,790,330,150,22556,1307.76,559.63,4.09,6.81,5.59,2,2,Germany,0.42
12483,18,8,2484.98,1110,293,138,46,22467,547.56,310.62,4.72,5.12,2.88,2,2,Sweden,0.27
12484,101,6,4541.72,2191,800,365,256,22693,1246.49,756.95,4.29,7.33,7.13,2,2,Spain,0.23
12488,10,3,1298.66,529,270,176,46,21731,553.39,432.89,4.23,5.1,4.91,2,4,France,0.0
12489,162,1,334.93,105,105,105,15,22027,334.93,334.93,6.31,3.51,3.4,4,1,France,0.0
12490,18,10,5417.93,3064,650,306,131,23084,1035.82,541.79,4.04,6.56,5.55,2,2,France,0.0
12491,333,1,460.4,260,260,260,25,20973,460.4,460.4,4.83,3.74,4.09,1,2,France,0.0
12492,106,2,263.21,192,123,96,19,16169E,136.82,131.61,3.57,4.01,2.74,5,3,Germany,0.0
12493,166,2,433.74,207,119,103,20,15036,232.5,216.87,6.19,3.95,3.6,1,4,France,0.48
12494,16,7,1246.1,707,209,101,63,21212,403.09,178.01,4.0,5.75,4.14,4,3,France,1.98
12497,82,1,1043.1,1236,1236,1236,14,21495,1043.1,1043.1,3.97,3.63,2.26,0,3,Germany,0.0
12498,22,3,403.7,159,81,53,21,20728,247.25,134.57,5.14,4.19,3.5,3,2,Germany,0.0
12500,24,10,4254.82,2677,577,267,33,22585,1096.65,425.48,5.67,3.24,3.32,3,2,Germany,0.11
12501,162,1,2169.39,1783,1783,1783,149,84826,2169.39,2169.39,4.02,6.85,6.54,4,1,Germany,0.0
12502,188,5,3723.87,820,234,164,102,22741,1092.35,744.77,6.39,6.1,5.77,2,1,Spain,0.0
12504,19,2,482.05,90,87,45,6,21122,449.4,241.02,10.23,2.39,2.16,3,2,Germany,3.33
12506,233,1,73.5,23,23,23,23,21658,73.5,73.5,3.25,4.52,4.25,3,3,France,0.0
12507,135,3,1304.81,894,664,298,19,23297,811.9,434.94,4.91,3.47,2.56,2,2,Spain,1.23
12508,27,2,398.27,272,203,136,57,22219,275.19,199.14,1.79,5.57,5.4,3,2,France,0.0
12509,285,1,176.5,55,55,55,7,20723,176.5,176.5,8.07,2.62,2.11,0,4,France,0.0
12510,143,2,982.57,353,294,176,29,21137,681.05,491.28,5.73,4.53,3.53,1,3,Spain,0.0
12512,244,2,138.03,99,95,49,31,16161P,122.33,69.02,2.88,3.91,4.64,6,2,Israel,0.0
12513,113,1,612.29,462,462,462,35,16161U,612.29,612.29,3.64,4.95,4.22,4,3,France,1.3
12514,268,1,1017.68,440,440,440,51,21700,1017.68,1017.68,4.42,5.53,5.14,3,3,Italy,0.0
12515,354,1,383.7,131,131,131,16,21976,383.7,383.7,7.28,3.5,3.21,1,3,Italy,0.0
12516,4,2,1312.06,875,530,437,20,22945,728.86,656.03,3.11,3.94,2.96,2,2,Germany,0.0
12517,29,5,2502.84,1371,421,274,232,21238,771.75,500.57,3.95,7.46,7.25,4,2,Germany,1.68
12518,0,5,2056.89,1318,324,263,84,22705,524.9,411.38,3.56,6.1,5.09,3,2,Germany,0.0
12519,153,1,340.84,183,183,183,17,20975,340.84,340.84,3.75,3.88,3.32,6,2,Germany,0.0
12520,37,5,2634.26,1439,618,287,121,51014A,987.42,526.85,4.93,6.63,5.6,2,2,Germany,0.0
12521,143,1,599.68,309,309,309,38,23199,599.68,599.68,5.21,5.07,4.59,2,3,Germany,0.0
12522,40,2,192.72,194,129,97,11,16045,103.32,96.36,4.03,2.41,2.14,1,4,Germany,0.0
12523,9,11,1789.77,865,148,78,84,23231,262.42,162.71,6.27,5.51,5.59,2,2,France,0.0
12524,10,8,4485.72,3699,1299,462,113,23379,1094.33,560.72,3.75,5.98,4.95,3,2,Germany,0.0
12526,54,3,1316.66,632,318,210,64,21731,520.3,438.89,4.25,5.81,5.06,1,2,Germany,0.0
12527,82,3,348.71,234,113,78,18,16168M,152.4,116.24,4.21,3.86,3.26,1,3,Germany,0.0
12528,10,6,1933.48,756,281,126,50,21232,493.53,322.25,6.21,5.19,4.51,2,3,Germany,0.66
12530,30,4,1662.28,913,313,228,51,22338,440.63,415.57,4.83,4.99,4.38,2,2,Germany,1.42
12531,15,1,125.22,45,45,45,17,21226,125.22,125.22,5.1,3.93,3.06,4,4,Germany,0.0
12532,90,1,349.83,153,153,153,16,22340,349.83,349.83,4.24,3.78,3.4,6,2,France,0.0
12534,336,1,1089.18,651,651,651,63,21498,1089.18,1089.18,4.96,5.71,5.21,5,2,Germany,0.0
12535,92,2,716.35,219,115,109,28,22558,371.45,358.18,4.48,4.36,4.6,2,1,France,0.0
12536,30,1,4279.71,2801,2801,2801,259,21872,4279.71,4279.71,4.09,7.65,7.4,3,2,France,0.0
12538,60,1,363.95,191,191,191,21,22419,363.95,363.95,3.74,4.03,3.9,1,2,Spain,0.0
12539,23,4,5568.35,2067,643,516,157,21121,1715.85,1392.09,5.15,6.91,6.72,3,3,Spain,0.0
12540,20,17,13400.24,6685,747,393,277,84879,1380.11,788.25,5.7,7.4,6.01,2,2,Spain,0.01
12541,60,3,981.18,680,288,226,46,22197,445.04,327.06,4.32,5.18,3.69,4,2,Spain,0.0
12544,274,1,372.7,136,136,136,19,20971,372.7,372.7,4.97,4.11,3.49,4,2,Spain,2.94
12545,76,2,1000.39,523,346,261,42,21974,628.15,500.2,5.57,4.97,4.27,5,4,Spain,0.0
12546,47,2,1161.5,633,475,316,59,85204,760.2,580.75,4.42,5.45,4.87,2,4,Spain,0.0
12547,198,2,207.8,134,109,67,7,21080,159.4,103.9,8.16,2.62,0.82,4,2,Spain,0.0
12548,167,1,95.2,49,49,49,5,21210,95.2,95.2,10.23,2.1,0.98,6,4,Spain,0.0
12550,80,1,964.83,569,569,569,57,16161P,964.83,964.83,4.24,5.54,5.05,2,3,Spain,0.0
12551,358,1,168.0,100,100,100,10,20712,168.0,168.0,1.62,3.32,3.3,4,3,Spain,0.0
12552,40,2,437.82,88,85,44,20,21498,317.82,218.91,9.45,3.64,3.87,0,3,Italy,0.0
12553,0,10,3692.28,1965,446,196,95,84077,700.31,369.23,4.3,5.91,5.26,4,2,France,2.09
12556,33,2,603.71,358,192,179,100,22816,312.9,301.85,3.55,6.04,6.1,1,2,Spain,0.0
12557,17,5,11990.96,4384,1506,876,15,84997D,4146.34,2398.19,2.13,3.11,3.49,2,2,Spain,0.0
12558,301,1,269.96,196,196,196,11,23158,269.96,269.96,1.25,3.32,3.19,5,2,USA,100.0
12559,311,2,561.71,283,247,141,21,22895,486.11,280.86,4.4,4.01,3.64,1,2,Germany,0.71
12560,113,3,2134.01,1110,812,370,91,22740,1292.31,711.34,4.23,6.25,5.75,2,2,Germany,0.72
12561,69,1,238.85,177,177,177,16,21498,238.85,238.85,3.46,3.57,3.47,6,1,Germany,0.0
12562,23,7,3781.74,1779,323,254,99,23084,654.37,540.25,4.15,6.06,5.48,2,2,France,0.0
12564,262,1,456.9,133,133,133,21,22329,456.9,456.9,7.54,4.13,3.92,2,4,France,0.0
12565,289,1,145.92,80,80,80,9,22553,145.92,145.92,2.39,3.03,2.93,3,4,Saudi Arabia,6.25
12566,87,1,351.65,265,265,265,19,22066,351.65,351.65,5.01,3.72,3.42,2,2,Germany,0.38
12567,23,10,9401.28,4305,772,430,323,22492,1650.1,940.13,4.97,7.87,7.39,3,2,France,5.02
12569,0,32,4124.69,1801,246,56,92,21232,348.68,128.9,3.63,6.09,3.49,2,2,Germany,0.44
12571,40,2,519.61,523,326,261,31,22492,271.26,259.8,1.83,4.76,4.66,2,3,France,0.0
12572,52,2,1020.42,452,293,226,53,21871,532.74,510.21,5.24,5.28,4.95,2,2,Germany,0.44
12573,228,1,160.54,84,84,84,26,21507,160.54,160.54,2.58,4.02,4.31,1,4,France,0.0
12574,316,1,218.45,61,61,61,11,84380,218.45,218.45,6.2,3.27,3.04,4,4,France,0.0
12576,130,5,1315.83,967,302,193,72,16016,379.28,263.17,4.81,5.79,5.41,1,1,Poland,0.31
12577,243,3,657.8,472,304,157,137,23077,327.89,219.27,2.62,6.46,6.6,0,2,France,1.27
12578,22,2,2794.51,1196,748,598,111,22492,1608.66,1397.26,4.94,6.59,6.05,3,2,Italy,1.34
12579,79,1,440.42,285,285,285,29,16156L,440.42,440.42,4.42,4.51,4.02,3,4,France,2.46
12580,159,1,415.7,238,238,238,24,10125,415.7,415.7,4.16,4.47,3.92,0,1,Germany,0.0
12581,40,1,197.71,161,161,161,15,16169E,197.71,197.71,4.08,3.7,2.81,0,5,Germany,0.0
12582,239,2,511.36,300,159,150,21,21394,306.2,255.68,5.35,4.01,2.12,3,3,Finland,0.0
12583,0,15,7281.38,5060,716,337,115,22492,855.86,485.43,3.83,6.0,4.84,2,2,France,1.01
12584,18,9,2338.15,416,84,46,44,22720,463.63,259.79,8.19,4.95,4.9,3,2,Italy,10.82
12585,235,2,2040.1,1279,872,639,77,84945,1262.85,1020.05,5.27,5.56,5.29,2,3,Germany,1.64
12586,18,1,196.94,79,79,79,11,16048,196.94,196.94,4.16,3.02,3.17,1,4,Italy,0.0
12587,301,1,144.0,51,51,51,4,22386,144.0,144.0,21.04,1.63,0.78,5,2,Finland,0.0
12588,40,1,214.9,53,53,53,10,22195,214.9,214.9,10.09,2.85,2.61,0,5,Finland,0.0
12589,29,2,646.68,306,223,153,29,21121,515.18,323.34,5.74,4.5,3.9,2,2,France,0.0
12590,5,2,9864.26,4283,4282,2141,68,15036,9341.26,4932.13,26.82,5.63,2.41,0,1,Germany,0.0
12591,318,1,452.85,228,228,228,26,84988,452.85,452.85,5.09,4.4,3.82,2,4,Italy,0.0
12592,66,2,437.6,290,165,145,11,20719,231.8,218.8,5.61,3.19,2.24,1,1,Germany,0.0
12593,109,3,418.1,206,100,68,14,20726,236.0,139.37,5.53,3.55,3.35,1,2,France,0.0
12594,47,10,3338.22,1777,521,177,50,47593B,722.4,333.82,4.68,5.32,4.62,2,3,Italy,0.06
12596,36,2,618.27,474,318,237,25,23167,348.32,309.14,4.97,3.95,3.07,3,2,Spain,0.0
12597,20,4,3811.22,2236,1484,559,184,22597,2176.45,952.81,5.28,6.98,6.42,3,3,Spain,0.0
12598,10,8,3023.08,1964,368,245,84,23204,720.86,377.88,4.16,5.76,5.28,3,2,France,1.22
12599,33,7,1032.58,956,216,136,32,21086,201.86,147.51,3.0,4.5,2.39,3,2,France,0.0
12600,29,10,2599.04,774,161,77,32,85014B,427.94,259.9,2.81,4.38,2.77,4,2,Germany,0.13
12601,39,5,577.06,245,87,49,21,22961,144.26,115.41,6.43,3.82,2.63,3,2,Germany,0.41
12602,0,1,153.12,162,162,162,12,23506,153.12,153.12,3.21,3.41,2.55,5,2,France,0.0
12603,22,1,739.2,63,63,63,2,22423,739.2,739.2,14.48,0.5,0.96,4,3,Germany,0.0
12604,80,2,254.18,201,137,100,15,21122,178.5,127.09,3.53,3.63,2.94,2,3,France,0.0
12607,61,1,1579.51,1228,1228,1228,101,22492,1579.51,1579.51,3.36,6.38,6.11,0,2,USA,100.0
12609,79,3,1126.85,648,295,216,57,21394,512.8,375.62,3.61,5.42,4.79,1,3,Germany,0.0
12610,23,5,2099.54,1049,457,209,85,21671,946.75,419.91,7.18,5.92,4.91,3,3,Italy,2.0
12611,53,1,1193.32,846,846,846,65,23445,1193.32,1193.32,3.33,5.16,5.53,1,3,Italy,0.0
12612,75,1,704.04,262,262,262,19,17003,704.04,704.04,5.43,3.94,3.8,0,4,Germany,4.2
12613,58,5,3344.38,1644,885,328,124,22467,1881.86,668.88,3.93,6.65,6.11,2,3,Germany,0.3
12614,160,1,315.6,76,76,76,20,21354,315.6,315.6,5.26,4.04,4.16,6,1,Germany,0.0
12615,72,4,2291.19,1376,413,344,82,84077,656.95,572.8,3.68,5.76,5.13,3,3,France,0.0
12616,215,2,713.3,284,186,142,25,20981,457.7,356.65,4.82,4.39,3.73,0,2,France,3.52
12617,60,1,355.53,213,213,213,39,20718,355.53,355.53,2.4,4.96,4.82,1,2,France,0.0
12618,22,1,177.31,96,96,96,11,21499,177.31,177.31,7.52,2.86,2.29,4,3,Italy,0.0
12619,17,9,3641.24,3378,781,375,50,23293,688.0,404.58,21.18,4.64,2.28,2,2,Germany,0.68
12620,15,3,1339.41,1181,441,393,89,21394,561.66,446.47,2.75,6.01,5.79,2,3,France,0.0
12621,5,20,13689.67,7440,992,372,261,15036,1209.8,684.48,4.42,7.27,6.29,1,2,Germany,0.48
12622,233,1,180.1,69,69,69,11,21328,180.1,180.1,5.5,3.09,2.84,3,3,Germany,0.0
12623,129,1,305.1,191,191,191,18,22704,305.1,305.1,3.84,3.97,3.34,2,1,Germany,0.0
12624,107,2,641.13,355,208,177,36,21212,341.19,320.57,4.07,4.81,4.28,2,3,France,0.0
12625,5,2,2683.82,1612,909,806,73,21121,1716.62,1341.91,4.29,5.88,5.19,0,2,Germany,2.05
12626,24,9,6620.48,3453,856,383,232,22326,1377.55,735.61,4.19,7.56,6.58,2,3,Germany,2.55
12627,11,7,4478.53,2752,868,393,162,16045,1183.72,639.79,4.15,6.65,6.21,2,3,Germany,0.0
12628,182,3,786.46,448,195,149,34,23077,333.64,262.15,3.75,4.63,3.85,4,2,Germany,0.67
12630,10,2,1270.88,548,284,274,60,22539,701.79,635.44,5.2,5.61,4.68,2,4,Finland,0.0
12631,58,1,640.5,236,236,236,31,21212,640.5,640.5,6.09,4.64,4.07,3,2,Finland,0.0
12633,0,4,2163.98,1162,589,290,73,10135,1012.82,541.0,3.74,5.46,5.19,3,3,Germany,1.12
12635,31,2,1689.18,1172,773,586,96,16045,1005.54,844.59,3.16,6.24,5.72,4,1,Germany,0.0
12637,92,8,6021.9,3002,719,375,205,22492,1516.68,752.74,5.01,7.06,7.05,2,2,France,0.4
12638,182,1,671.69,577,577,577,39,85172,671.69,671.69,3.97,5.03,3.78,5,2,Sweden,0.0
12639,239,1,486.1,201,201,201,22,21124,486.1,486.1,7.23,4.2,3.35,4,3,Sweden,0.0
12640,24,3,1174.58,311,246,103,47,23319,764.59,391.53,5.62,5.13,4.86,1,3,France,0.0
12641,116,1,185.9,72,72,72,10,21977,185.9,185.9,8.07,2.85,2.21,1,3,Sweden,0.0
12642,26,3,1013.26,552,277,184,39,22077,366.45,337.75,4.47,4.69,4.04,1,3,Germany,0.0
12643,39,6,3344.64,1808,699,301,11,21381,1202.22,557.44,6.52,3.04,1.67,2,1,France,0.0
12644,305,1,477.91,325,325,325,31,22094,477.91,477.91,2.96,4.6,4.37,1,2,Germany,0.0
12645,110,4,1775.18,1084,350,271,58,22492,511.96,443.8,2.99,5.47,4.4,2,2,Germany,0.0
12646,50,2,1346.97,897,489,448,43,23366,731.69,673.48,3.46,4.94,4.95,3,2,USA,0.0
12647,23,12,3722.82,1431,225,119,78,21558,596.8,310.24,5.82,5.37,4.64,2,2,Germany,0.84
12648,125,1,318.05,160,160,160,21,21242,318.05,318.05,5.03,4.21,3.68,6,1,Germany,0.0
12649,35,3,623.51,586,376,195,28,16259,375.0,207.84,2.44,4.28,3.41,3,3,Germany,0.0
12650,181,1,314.44,254,254,254,20,22752,314.44,314.44,3.25,4.16,2.92,6,2,France,0.0
12651,100,1,114.0,78,78,78,9,21080,114.0,114.0,2.67,3.01,2.71,3,1,France,0.0
